,cone_angl,axial_speed,axial_speed_1,axial_speed_2,axial_speed_3,axial_speed_4,axial_speed_5,axial_speed_6,axial_speed_7,axial_speed_8,axial_speed_9,axial_speed_10,axial_speed_11,axial_speed_12,axial_speed_13,axial_speed_14,axial_speed_15,axial_speed_16,axial_speed_17,axial_speed_18,axial_speed_19,axial_speed_20,axial_speed_21,axial_speed_22,axial_speed_23,axial_speed_24,axial_speed_25,axial_speed_26,axial_speed_27,axial_speed_28,axial_speed_29,Tang_speed,Tang_speed_1,Tang_speed_2,Tang_speed_3,Tang_speed_4,Tang_speed_5,Tang_speed_6,Tang_speed_7,Tang_speed_8,Tang_speed_9,Tang_speed_10,Tang_speed_11,Tang_speed_12,Tang_speed_13,Tang_speed_14,Tang_speed_15,Tang_speed_16,Tang_speed_17,Tang_speed_18,Tang_speed_19,Tang_speed_20,Tang_speed_21,Tang_speed_22,Tang_speed_23,Tang_speed_24,Tang_speed_25,Tang_speed_26,Tang_speed_27,Tang_speed_28
PCA Component 0,-0.0081847804884373,-0.11274277942440597,-0.11510131605358997,-0.11796586053948725,-0.12068631930704789,-0.12377608827624098,-0.12719546179081304,-0.1306288365896016,-0.13365718315206987,-0.13623714738866083,-0.13829100916875406,-0.13965304124847072,-0.14073818465735688,-0.14081892519247338,-0.1403273510083251,-0.13909192035659587,-0.1375174851345735,-0.13453778770642744,-0.12839469562168634,-0.11623697462661778,-0.08569502920895626,-0.018774137124507536,0.06497224310489152,0.11155372940310997,0.12697375606154018,0.13182974921117263,0.1332869061851145,0.1316481923460477,0.1255001171232498,0.11679662065010063,0.0861408147056208,0.09281752991158566,0.10724558782970088,0.11995494589751483,0.1291237658650594,0.13411901937622986,0.13772823488089025,0.140249545295527,0.14187177574616736,0.14282510620614103,0.14339054395042553,0.14363792265724867,0.14376076002555152,0.1437018366208695,0.14350862589206734,0.14331124775771353,0.14309880489393,0.14282795554698424,0.14254190730175523,0.142325895681676,0.1420712186373528,0.14191275940016876,0.1416959634474224,0.14161174199109217,0.1415147923100037,0.14143294477216167,0.1408103983143515,0.1386798553636857,0.1346853422105903,0.12373557233769435
PCA Component 1,0.1590431171629829,-0.20118020722862895,-0.1967694537625957,-0.1882243825375376,-0.17737101528842503,-0.16173413558204666,-0.14445779388326574,-0.12313495982200727,-0.10183938239544472,-0.07826048972154535,-0.055945017451145974,-0.03348549090421888,-0.01132927868138156,0.011319994682835904,0.036993967844599386,0.06247072024880041,0.09237473243336239,0.12642521457392458,0.16837837080924445,0.2292893058277051,0.32251545179232666,0.40658060094988174,0.3642353343199962,0.24725676063714966,0.16993825363187018,0.12081074063167672,0.09296893810366529,0.06685584770435904,0.05555933537759989,0.04518311539397684,0.024720910224745818,-0.1399325139655786,-0.14033189313324992,-0.1337325726446988,-0.11722978367683726,-0.09936276327350702,-0.08032171590291788,-0.060410759714934356,-0.042920359242993554,-0.030410737782206602,-0.020725632223515957,-0.01531585794978796,-0.01268200378282261,-0.012240253484335196,-0.013835188564787911,-0.015497771500716882,-0.018020745492837765,-0.020398496936128382,-0.0235505507300262,-0.026574453976937345,-0.029259515024814692,-0.03132556593365811,-0.033629774083363165,-0.034696416114790754,-0.034689540429512465,-0.03447478938987221,-0.03473020890137888,-0.031090309189786985,-0.03579856098463351,-0.04687997157150265
PCA Component 2,-0.12030699321466069,0.23501450596846124,0.23107655403018645,0.2271194295356195,0.22465663677304876,0.22045957144157402,0.20986577704216358,0.19806994542897635,0.1814537074604941,0.16516282540601382,0.1463934680666766,0.1302526649800505,0.11319767662198,0.10514523217003233,0.09903007758700111,0.09329629984454393,0.08347729878695484,0.08235991526408137,0.08964063571177991,0.10610291810728883,0.14410520820022227,0.19424361746987062,0.19735611070169812,0.16726816986552398,0.14862421535837153,0.14747217316046166,0.15330995357979477,0.1777660164010487,0.2238908455977914,0.246685715848238,0.18689473660956105,0.034826220457625595,0.0543019770515197,0.06888968300312695,0.06816427096948993,0.05003585955056287,0.034964588845494776,0.022064326907059006,0.012213480741802502,0.00920125541652945,0.01007419960571873,0.013978315989138847,0.019293899120104308,0.02729936661223711,0.03538264098992924,0.04102418386639554,0.04724562919471681,0.05377979893291887,0.058447157397882754,0.062312911398260826,0.06493770010837169,0.06688275637276117,0.06813452404805577,0.06850990366631177,0.06817807657876963,0.06716048073025568,0.07255473341758108,0.0909826360328986,0.11186192715990936,0.10319617046049427
PCA Component 3,0.3162961410762697,0.08982667331107413,0.08033518351761701,0.06785588407712828,0.05044069481585017,0.03535955611074887,0.0218993025283426,0.011176253791312471,-0.0027985094620726556,-0.012172511918602708,-0.018814001705923934,-0.0293347886675937,-0.03890015472170585,-0.04261769228997351,-0.053381872652094015,-0.06643290591324211,-0.08044677149125434,-0.09502634550819278,-0.115327766376775,-0.1420796722679179,-0.16408676090126376,-0.151218538769383,-0.07597595336092372,-0.016370029239243536,0.015457158305761614,0.042728103917122416,0.05385729523027308,0.06907249281743201,0.08602143524591599,0.1234461014282219,0.20690365405520175,-0.4432520201762311,-0.3925634750881021,-0.3121439694794833,-0.23779186219688694,-0.19632195436683475,-0.1591763451851426,-0.12876145682950185,-0.10360205229902891,-0.08104684873565943,-0.060139469886928885,-0.04107307865169964,-0.02444114955143958,-0.008252517119962754,0.005867060408555771,0.018989259565724663,0.031441442201673095,0.04074476376351943,0.04827697184237178,0.05451887353538394,0.06065107984309184,0.06428659743481474,0.06779746177186893,0.06960520717992125,0.07270813521922796,0.07559274641579469,0.07749448829594144,0.08650383115010445,0.09863794671188128,0.1278978286041491
PCA Component 4,0.5740061237902052,0.08833101156217793,0.08514843267330453,0.08865336482152775,0.0857372164642039,0.08161124045493184,0.07697316631206297,0.0644645223935067,0.05621220217842113,0.04503955640837015,0.03174154615208198,0.02277724902958908,0.013296249537054002,0.005716114070085669,0.00895963376576031,0.01131319037514807,0.020139710869830896,0.036324676613938886,0.042696181263445966,0.06169999912271796,0.0811518105496811,0.09341413458822674,0.07178948107339954,0.030097390529031296,-0.0021753564036393913,-0.0218962929190954,-0.04177644147875405,-0.08754643227241274,-0.16945279106906316,-0.3077727499007157,-0.5583338843590596,-0.01633784706342625,0.00778157744792065,0.03115981279080318,0.04742209206413041,0.04199569708717063,0.03332989658590021,0.03203228097481087,0.030710475451483747,0.03777917423851397,0.04302363873526211,0.052533082988304156,0.06101699803438858,0.07039872277769674,0.07883069853180907,0.08620855561685432,0.09026321370321098,0.0941700496294272,0.09728550238128851,0.09675415542874852,0.09784940611841669,0.0973364988639071,0.09790923036402462,0.09504758848822525,0.09565695786639476,0.09208176935479895,0.08391502338387977,0.06782248754138921,0.03780903817102562,-0.040253245144731414
PCA Component 5,0.6846578481109598,-0.11781949829677371,-0.10549389387814496,-0.08655589336293137,-0.06767759314834085,-0.04060207088959755,-0.01846843138155463,0.0077241493653800175,0.03255025253595163,0.04883244753863319,0.06593463737718482,0.0713324021867272,0.07742258297189822,0.09076856911437665,0.10497521281923561,0.10868487069084967,0.09038560923501529,0.059619882819934064,0.017509161206993404,-0.02581697312569628,-0.0964098613283065,-0.1054331002222886,-0.122636713740276,-0.0871973569234814,-0.025935323450837638,0.0017239180416889202,0.023761732105662074,0.06285203526963712,0.15296567544603493,0.2354439694436401,0.3188028812976695,0.3105510935328039,0.21043434349114976,0.12878649272619877,0.06949623154978914,0.048416173828241635,0.025072634569561617,0.007230875613691289,-0.007287501818359951,-0.01821697067996727,-0.02991626011907358,-0.040325457779154555,-0.0433079491214112,-0.04579523210987365,-0.05038985943144719,-0.05138330164727425,-0.04984525750803268,-0.050913257272170005,-0.051104778488493215,-0.049327796293180966,-0.049815533983670765,-0.045501853009685324,-0.04228217428316905,-0.03849582394654766,-0.03665821423841753,-0.036892321466496104,-0.031174451163535764,-0.006527634095027881,0.01935683081820023,0.03867897015844854
PCA Component 6,-0.0491010066096416,-0.010618654947744936,-0.020719269646964307,-0.032052986324568516,-0.04633590973451184,-0.04235719984379102,-0.043091237993409914,-0.03690214191383831,-0.031100164360763793,-0.016116080927009002,-0.00942095719646932,0.004581412131893198,0.024809712120286424,0.03661892004869597,0.046391638768321856,0.057613014385199765,0.08594754093957624,0.11990247199098483,0.16163935337149254,0.17859916250475874,0.15421992038452229,0.09369578196219486,-0.06224978386801598,-0.1361039893081468,-0.2136224102533238,-0.23114406573390833,-0.24140812569986933,-0.25148468177120326,-0.16185641895623315,-0.024108436746830917,0.17795982783781483,-0.061729208664859335,-0.029019012056816996,0.004917214217853259,0.007847264534620117,0.017472768620220954,0.035274812713378095,0.029737598773468297,0.0351741310739403,0.04012543249037144,0.041362244081761354,0.0424314013347139,0.03724972538625188,0.03596598781511921,0.031669576131194775,0.0270436662461412,0.021002811489419588,0.018451076254418518,0.012134147881913606,0.008864775204438282,0.005483858816680814,0.0024990970703271994,0.0005149835474923675,0.00023582996615265436,0.01244563409319514,0.030370452711152216,0.07487709831304708,0.17468598641767075,0.3642578625366206,0.6143603995925744
PCA Component 7,-0.19770326605225555,-0.15999306195220062,-0.15462979577047814,-0.14453602438393465,-0.13510131825760424,-0.11109162495091149,-0.07021757117752539,-0.025435879541343298,0.026809387058404188,0.06887404555745935,0.1124869510223174,0.14625458798282603,0.16168113080948052,0.17736553717878967,0.17581884675777626,0.16438553216987356,0.13619995157152986,0.08388891820682283,0.041340914863203446,-0.04720564829543319,-0.1348515420358139,-0.20479120888248545,-0.16088111088934134,-0.04054273050532308,0.08838141029924637,0.13495695944188466,0.14272427628755194,0.19930600225936748,0.22492707582333848,0.05203774691438406,-0.5022524063909292,0.04366388748046796,-0.030786145480740733,-0.04554828115631026,-0.05329914002004129,-0.06235578425647337,-0.0723092971223998,-0.07494307784959267,-0.06834568402198933,-0.0624473648194265,-0.05591574977295899,-0.05769407408541042,-0.050606587338764074,-0.047155573764927516,-0.04573087055567676,-0.043899286250587505,-0.03676979475144552,-0.028865707484219044,-0.01944872084046476,-0.005770888713015261,0.006788583176376941,0.017549121145332396,0.028831617903664612,0.03904089894573324,0.06033322580226852,0.07968660736518553,0.11899194908191768,0.1800947616349564,0.2314777068483126,0.16925714620659402
PCA Component 8,-0.06209750313048404,-0.15642509757983042,-0.1314234342727336,-0.10227912094811006,-0.061829750576387205,-0.022044555166969917,0.009823285440323959,0.04124113634892442,0.07817938051898204,0.08637825697394722,0.0963945605631813,0.10861701311438565,0.0854731152942712,0.10265596292592376,0.1338968127817393,0.1715496044411114,0.17824144395714417,0.18355912301021196,0.18646363467004046,0.16379135596179023,0.029115367185107825,-0.1462621035848541,-0.2598164474054462,-0.14786287805001874,-0.06447207494238906,-0.016531286337543347,-0.03044620548268877,-0.025551569383644415,-0.03131014394507578,0.02835206465287772,0.1909203914684386,-0.31728553525877323,-0.15677774723747523,-0.023539940541649776,0.058640921183297064,0.0886863678618334,0.10460742036094975,0.11458947572785569,0.12123562913250856,0.12833553592078722,0.12987837120101917,0.1302031596682209,0.12973472862780597,0.13291545621534626,0.13752211627572886,0.13125632484773664,0.11873988531364724,0.10704875167100747,0.10790369467432673,0.10159950163343485,0.09520535574993239,0.08351868514550513,0.07436206379078196,0.0650090646786516,0.054649000764650145,0.03996502561447298,0.023823994295095137,-0.029300908585780584,-0.18119541917542278,-0.3822153667437683
PCA Component 9,0.009043197966633125,0.271132508318821,0.19772165131379424,0.11280113660598347,0.03243410385136501,-0.046097994907338916,-0.11064536662639643,-0.15087163603928555,-0.19565678692199878,-0.20778865967218432,-0.2004570435420147,-0.1839383911526966,-0.14435086869288458,-0.10271129620448083,-0.041283777659487875,0.02058800372393843,0.03709536710517892,0.12518467542105607,0.18709065252503712,0.20232143807938727,0.20319813758206043,-0.030630354833636915,-0.14731719494826204,-0.23603659580896907,-0.1782464356636234,-0.13549625665355106,-0.06595211290425491,0.07119909103571068,0.3115015013547764,0.29732377443267555,-0.16177908537283361,0.08983726371424978,0.0941106863809594,0.011054607372277666,-0.06754245123452829,-0.08899763186693818,-0.09390829241171787,-0.08839992015922205,-0.059445211096249694,-0.04749297589349798,-0.020065514900672814,-0.009329860178477806,0.011350504599225568,0.029428034868488155,0.03033778374733955,0.02424046305911296,0.024608880598897424,0.008029388762188866,0.006181936508622713,0.00256139116335069,0.0002382726489969021,0.0013088933109388092,0.001937011238506372,0.009256943737107143,0.02193874419444545,0.03805183282422937,0.08387238452347376,0.1381714465096028,0.051782970361041014,-0.2777444707043637
