,cone_angl,axial_speed,axial_speed_1,axial_speed_2,axial_speed_3,axial_speed_4,axial_speed_5,axial_speed_6,axial_speed_7,axial_speed_8,axial_speed_9,axial_speed_10,axial_speed_11,axial_speed_12,axial_speed_13,axial_speed_14,axial_speed_15,axial_speed_16,axial_speed_17,axial_speed_18,axial_speed_19,axial_speed_20,axial_speed_21,axial_speed_22,axial_speed_23,axial_speed_24,axial_speed_25,axial_speed_26,axial_speed_27,axial_speed_28,axial_speed_29,Tang_speed,Tang_speed_1,Tang_speed_2,Tang_speed_3,Tang_speed_4,Tang_speed_5,Tang_speed_6,Tang_speed_7,Tang_speed_8,Tang_speed_9,Tang_speed_10,Tang_speed_11,Tang_speed_12,Tang_speed_13,Tang_speed_14,Tang_speed_15,Tang_speed_16,Tang_speed_17,Tang_speed_18,Tang_speed_19,Tang_speed_20,Tang_speed_21,Tang_speed_22,Tang_speed_23,Tang_speed_24,Tang_speed_25,Tang_speed_26,Tang_speed_27,Tang_speed_28,pls_ampl,frequency,label
0,4,4.30538558625038,3.95351262504546,3.68136008167456,2.99035472499243,2.24785492881068,1.3993720379678,0.394124546813987,-0.579196998399257,-1.44775860530986,-2.49093928385309,-3.54513194200571,-4.37633874125292,-5.35597317460594,-6.16631531949891,-7.13674030288524,-7.91195901318567,-8.74074341663883,-9.4869669695442,-10.1253363948769,-10.975492672142,-11.8935574481281,-12.690755816212,-13.5569757047955,-14.4244862241395,-15.0989651442752,-15.8605490303306,-16.284144216448,-16.5496747899341,-14.4486016720051,-8.66982304520194,-3.35277964313282,-5.97073577252523,-8.20016781061252,-10.1524148048453,-11.5378479966201,-12.5359792202451,-13.2345119612813,-14.134848206097,-14.8775629407992,-15.4119484327108,-15.981566770233,-16.3399221833443,-16.7066110500178,-17.0105975191884,-17.1579396653409,-17.4146116652078,-17.5172095689973,-17.6543776995096,-17.5751235539477,-17.5587822891966,-17.5579240355462,-17.5608876789825,-17.5875836933196,-17.3455243606074,-16.9760680324539,-16.5978269402993,-16.0646461572133,-12.7650657172829,-7.08525978366007,0.357254267,126.9841232,1
1,4,4.22988165466801,4.20370349729852,3.59520473167227,3.11024488319472,2.22061499461014,1.52203048954019,0.31550628120713,-0.610724342793989,-1.37680905755149,-2.52364795466301,-3.54074213426562,-4.3863868626923,-5.29448826090081,-6.25692705887512,-6.99403340524934,-7.91465224101478,-8.59538194621793,-9.36305390083445,-10.1337258340089,-10.9068169744517,-11.7401836261899,-12.8180019279341,-13.6041535444491,-14.4101715819659,-15.0521816474929,-15.6530552924752,-16.215398985799,-16.5647256197065,-14.4756674783588,-8.70555919929846,-3.55808648428323,-5.79401536025385,-8.20179334717844,-10.2255759161377,-11.6472519497744,-12.4361120420493,-13.4178220561814,-14.2445393653764,-14.9499538946524,-15.4797582506172,-15.8577013283386,-16.3995661396118,-16.7758819472594,-17.0003291364125,-17.2606340915412,-17.4194961429529,-17.527618920169,-17.6100504633515,-17.6572144947973,-17.6829936368359,-17.7377008527874,-17.8158826084825,-17.5369773497888,-17.3679411411445,-17.0158786039807,-16.7242554123872,-16.2045161144791,-10.4879271924367,-3.16104011469928,0.353029996,126.9841232,1
2,4,4.21561656505307,3.95224704986063,3.65225955029604,2.79279201778167,2.16583417500752,1.41169465989657,0.273149978993522,-0.829608328446365,-1.8606899568281,-2.73097881615665,-3.67070096239069,-4.44029698248848,-5.57343520515629,-6.49077641402865,-7.09742276570266,-7.94097484272538,-8.7803091944605,-9.48289266192593,-10.1336358229876,-11.0292485492448,-11.8156319462916,-12.6641162759062,-13.614043987723,-14.3702327862823,-15.0854185344513,-15.6590670051088,-15.9326466883298,-16.3355680496504,-15.6024325045131,-13.4292877691735,-3.11239952619286,-5.86518896012481,-8.31025318428305,-9.9671035520075,-11.2134806839696,-12.4955837846939,-13.3089967132267,-14.2190985587497,-14.777373907988,-15.3761148312362,-15.8485337570027,-16.3271572505746,-16.6963572349218,-16.9104462198435,-16.992706682418,-17.2657704265789,-17.392987211754,-17.3933932171399,-17.5014910907905,-17.5788157571496,-17.5759050657816,-17.5140013207615,-17.2074705312103,-17.1104372878609,-16.8976661926442,-16.4159947704523,-15.9616931172235,-12.7251713475117,-7.0662561123263,0.334834695,125.152626,1
3,4,3.66630039468697,3.34024001702225,3.01127627801183,2.25745262405051,1.61421041654343,0.46256700354775,-0.371840099505615,-1.41518305385061,-2.42028571933679,-3.46115856916004,-4.23865053410545,-4.29549654775091,-5.82495689982021,-6.53481050805102,-7.432022778817,-8.07707462255853,-8.85958080394098,-9.51110524512656,-10.2365127154436,-11.1069896440943,-11.7302643136547,-12.6230437629322,-13.7417714133815,-14.3698715038003,-14.880062247986,-15.3197699762737,-15.7820128603131,-15.9688648939293,-13.9299688577264,-8.342436178428,-3.35133549741499,-5.75218987413429,-8.05906615164621,-10.0448622549586,-11.3633852304608,-12.4196520334758,-13.1091588518357,-13.9245320730944,-14.6043133351285,-15.2447406679753,-15.6660708963726,-15.9996335274311,-16.4142309409662,-16.662539714133,-16.681767921738,-16.9073634514905,-17.1080874863897,-17.0853013481402,-17.0931916044927,-17.0586656201384,-17.0526026521243,-16.9833144689881,-16.611711198608,-16.728767364214,-16.3359381445927,-15.878570811461,-15.5187049836523,-10.4737620089707,-3.56556246362525,0.310654312,120.8791199,1
4,4,2.51747018053067,2.59382646816674,2.11191949035167,1.45298202854938,0.328789196373501,-0.24253258224929,-1.55315602865623,-1.90362930635052,-3.06431382990625,-4.17405013014553,-4.93101384780624,-5.59245459222344,-6.46420865886808,-7.27913017039769,-7.75080956956229,-8.50272682524731,-9.12746815739919,-9.85214229765314,-10.5929140231032,-11.1647929961369,-12.0560625234605,-12.5420044633426,-13.268589384798,-13.8621314442302,-14.4358541812678,-14.761774823565,-14.9773456031568,-15.2272702025684,-14.4441595071703,-12.1778893960585,-3.2294145019234,-5.17456815669322,-7.89084546431307,-9.69676982369474,-11.2701670696551,-12.3539508713116,-13.1417461424709,-13.9228710877931,-14.4182844805953,-14.7263869290086,-15.141837572179,-15.429684322429,-15.7983639029126,-15.8895320286828,-16.0078949658041,-16.0230743489426,-16.2510957275246,-16.1965586755323,-16.2662404383534,-16.2146699279464,-16.1005062602837,-16.0530217197758,-15.9354317193704,-15.660924289781,-15.4579760415768,-15.2462750970633,-14.7568819731304,-13.4981478836728,-10.794161319244,0.284639806,114.7741165,1
5,4,1.32043830882851,1.64906860684156,1.00260358839257,0.171582656595211,-0.222332664522607,-1.17253231629675,-2.30004601931898,-2.97735838244465,-3.8555395362641,-4.64650832371323,-5.49295643353873,-6.38078842587158,-6.97070245604487,-7.72877280310949,-8.28902520623816,-8.88288113000266,-9.47477171424,-10.1460053368954,-10.6700013333886,-11.513887284107,-11.9993512402605,-12.5290942278422,-13.2525668785614,-13.6816285728396,-14.1242429146428,-14.4090939504978,-14.6820509862266,-14.6381085576812,-12.8634402518618,-8.80810728015985,-3.03122522078055,-5.39857865200748,-7.80536891820397,-9.42323082681134,-10.6817912830555,-11.5496208204045,-12.3174480759712,-12.976048463313,-13.4807372273836,-13.9072357118444,-14.2895517567162,-14.5742879334446,-14.8225182784135,-15.0512867467618,-15.238125252365,-15.3543649298245,-15.2608871649692,-15.3147426383034,-15.3553759064084,-15.3699475956786,-15.3771402350203,-15.0834844310075,-15.0534900579219,-14.7672573052018,-14.6185546684971,-14.434250518837,-13.9284378852755,-10.2959816762334,-4.74419974406875,0.232052237,110.5006104,1
6,4,0.213240581081656,0.0599489739649789,-0.031418973035048,-0.6558659481425,-1.27578402140738,-2.00741697463156,-2.96657805155113,-3.74615672519123,-4.59883060083164,-5.35084531080713,-5.8200693825551,-6.73584081423985,-7.34115387556779,-8.07660671018539,-8.52378769909573,-9.09407656774823,-9.79121977895718,-10.2491758244848,-10.9678446611325,-11.4161046173564,-12.0125500208564,-12.3919119935693,-12.8731077546399,-13.2568001525694,-13.6430883882639,-13.8525565425316,-14.0862153636689,-13.9470900063372,-13.3315369078819,-11.7024488463364,-2.8811635871686,-5.16153255049019,-7.26032569642298,-9.16026687465999,-10.2276803921656,-11.1195105402459,-11.9073288723387,-12.2578019728858,-12.8309344606858,-13.2854077517941,-13.4986630749108,-13.6859067493088,-14.13314583682,-14.3304306410532,-14.3645107754685,-14.295501715119,-14.3194661827369,-14.4043559875661,-14.3519154393095,-14.5155538207814,-14.3413096168816,-14.2915911187551,-14.1264566344202,-14.001488743685,-13.7327761481716,-13.5297745265305,-13.1435974847629,-11.5049380633591,-8.14292610362256,0.205432817,106.8376083,1
7,4,-0.64274668041109,-0.622459951337372,-1.08747313026928,-1.45635145019545,-2.34322260196999,-2.96916062978255,-3.45803750439499,-4.2819276179429,-5.02659845599495,-5.86816652888841,-6.39164151485739,-7.09977486296408,-7.67382660157203,-8.28901328278254,-8.90417494870315,-9.4481567019258,-9.94127339319681,-10.4591854752282,-10.8885806933753,-11.567155273506,-11.8984512333313,-12.3849925846693,-12.7457595314649,-13.1009468147144,-13.4994315226695,-13.5943867565418,-13.8472505894134,-13.9626191633394,-12.1718781081905,-7.27833279452169,-3.20987064352204,-4.87427744920891,-7.11664557469452,-8.90429505304893,-9.78431583030604,-10.7686425447875,-11.3098381358611,-11.7747066412819,-12.304004381728,-12.5740102120226,-12.7320742528092,-13.0726546339365,-13.5467292511859,-13.7248007927342,-13.729979648923,-13.6616818053838,-13.7268285029368,-13.7041662379099,-13.6821553317336,-13.7091979848356,-13.6956240101003,-13.5033731087041,-13.3517402108804,-13.2972368583114,-13.2544376596527,-13.0213748454953,-12.6307420280602,-9.31428529262872,-4.21857624798547,0.176252246,103.1746063,1
8,4,-1.59440971645708,-1.651016102994,-1.95331173311671,-2.11624998036064,-3.23024009315592,-3.24367508525836,-4.31526712303331,-4.94253720185645,-5.4713230624023,-6.15025732685654,-6.90453905186289,-7.56983764364975,-8.02529594141537,-8.75004175635559,-9.18196602695604,-9.63704547991442,-10.1413448548028,-10.4841200510764,-11.1465483292955,-11.4824338384822,-12.0906516676559,-12.24520617639,-12.3281966659357,-12.8364176495038,-13.178573409078,-13.4787332041366,-13.6201827334007,-13.6115788301916,-12.9197437864611,-10.9262360132538,-2.49512363180189,-4.84911665014945,-6.65875027180012,-8.38257301361749,-9.30798520978193,-10.364006670497,-10.8883794908525,-11.2729035315222,-11.5729582492178,-11.9057560852208,-12.2752605016559,-12.4941292563729,-12.8112557326198,-13.1838377903596,-13.1039396722739,-13.1149703202262,-12.9775351796986,-12.9736799780728,-12.8805283503897,-12.8645284688566,-12.8873441453951,-12.728286360723,-12.5452760814595,-12.5467924919329,-12.3295671543767,-12.16005772848,-11.8786689763386,-9.66119933759451,-5.6035844621323,0.136552975,100.1221008,1
9,4,1.6807581100719,1.16661574970439,0.544410259155636,-0.544747907573249,-1.31363239934375,-2.22508501811997,-3.31978391317504,-4.14873401688495,-4.95918316090948,-5.73406838288642,-6.54644160254912,-7.36055631649144,-8.14147104406099,-8.77068530054471,-9.51205438896285,-10.0441605661864,-10.5139806585028,-11.1270070072503,-11.4775015539678,-11.9193039173452,-12.1735687375395,-12.4980553625177,-12.5939844407003,-12.8839691703484,-12.6216508015265,-12.8261589972849,-12.4110253525885,-11.7104764446668,-10.9218155645471,-9.44769889253923,-4.20487047473443,-5.86952317515043,-6.96077812599554,-7.86751833664493,-8.59417279812571,-9.22789432525046,-10.0254580225485,-10.5945842290076,-10.8281865707702,-11.1009248933696,-11.235114654307,-11.1578469521176,-11.144920437436,-11.0066044853949,-10.8487347464805,-10.9297138347606,-10.7076974936698,-10.5141997577809,-10.3403283719647,-10.1237949883162,-9.88245263153373,-9.64000112030722,-9.61681665688922,-9.4173869127481,-8.66229521768754,-8.35986428818185,-7.80189380670296,-6.32891445547989,-3.67512242459547,0.129991174,94.01709747,1
