,axial_max,tang_max,index_of_axm,index_of_tnm,axial_in_mxt,tang_in_mxa,cone_angl,label
152,-11.7371816557551,-9.14282792806804,25,40,-8.31833933593656,-6.71996677915263,8,1
153,-11.5246727831537,-8.48956076376258,23,40,-8.66140543712826,-6.29364750418268,8,1
154,-11.501049517975,-7.9514373306738,21,40,-8.90112527826108,-6.31353272785002,8,1
155,-11.7348936669506,-7.17618471372319,23,43,-10.7097750221228,-5.74939289128828,8,1
156,-11.7737216534298,-6.96515117835672,21,41,-10.1935838690025,-5.55977953610534,8,0
157,-11.6436055064538,-6.7790705050588,20,40,-10.183407967537,-5.30307908861633,8,0
158,-11.5216417104075,-6.58618436281986,17,40,-10.4858817728718,-5.60572361493256,8,0
159,-11.4098481983415,-6.36092300807191,17,40,-11.0020338333968,-5.38751972685152,8,0
160,-11.7309319592834,-6.2525923508239,15,38,-10.3659791160737,-5.60902809259643,8,0
161,-12.1677758297644,-6.55800286254866,14,36,-11.6808955536409,-5.05855846724798,8,0
162,-12.4770503857249,-7.3860560646622,10,33,-12.3006214324677,-5.40355323577943,8,0
163,-12.9129107613444,-6.20231479818305,1,34,-12.7388216924751,-8.12224159122513,8,0
164,-13.2898516302799,-5.06808944406008,1,35,-12.9284900109996,-5.92840544981279,8,0
165,-13.3403672776705,-3.91256941459834,1,37,-12.8411964774061,-7.56180480585897,8,0
166,-13.2376094214732,-3.12314133053742,2,38,-12.8258268801087,-4.14265076875163,8,0
167,-13.0490185955824,-2.57448911134021,2,39,-12.7931478338051,-3.44510255188601,8,0
168,-12.906419264974,-1.88831768865118,3,39,-12.8091062202362,1.05598001146767,8,0
169,-12.8531269886794,-1.24985740315413,11,39,-12.8531269886794,-1.24985740315413,8,0
170,-15.6564146437574,-16.39419471829,28,49,-11.4786770189313,-15.5906260182678,9,1
171,-15.4442444480995,-16.4939121444496,28,51,-12.8972916545386,-15.6256142686221,9,1
172,-15.492526621483,-16.2961195837132,28,44,-8.36443529486344,-15.4777661729404,9,1
173,-15.1348419675189,-16.1724815291995,28,51,-12.6843962792853,-15.1428422163029,9,1
174,-14.556257109918,-15.4865355677081,28,54,-14.1108628326241,-14.606077738095,9,1
175,-14.2612277365896,-14.8781608967835,28,51,-12.4684397896501,-14.0523583716817,9,1
176,-13.7581629115044,-14.0177970568885,27,49,-11.2559357832712,-13.26244634845,9,1
177,-13.6393204610852,-13.3496149068669,27,47,-10.615355804124,-12.776834437959,9,1
178,-13.2599491292466,-12.8260579387843,28,46,-10.3322998830701,-11.8960284723139,9,1
179,-11.704654372835,-11.5763989466006,24,46,-9.76652196622053,-10.7567028340776,9,1
180,-12.2322449131343,-12.1126027614318,27,40,-7.52953476968266,-8.81239306697329,9,1
181,-12.0715225852159,-11.9849645558384,25,41,-8.16734839572536,-9.37071564004936,9,1
182,-12.0078278789953,-11.6586601352265,25,40,-7.91736703595531,-8.91289265982814,9,1
183,-11.7080554083274,-11.1362237865194,24,40,-8.05227333643012,-8.58770892675003,9,1
184,-11.813154664655,-10.5773247814129,27,39,-7.5502896873042,-7.14481645861576,9,1
185,-11.7100825183387,-9.99204321153951,24,40,-8.28780631700925,-7.39673859038677,9,1
186,-11.1683495246343,-9.52204143231999,23,38,-7.15328283131183,-7.07398580760002,9,1
187,-10.8581360965887,-8.708246098674,21,38,-7.80023544188594,-6.60015266842253,9,1
188,-11.1227797029371,-8.35517785039124,24,38,-7.99267376804183,-6.28683967039235,9,1
189,-11.6577382197454,-7.72879236285317,21,40,-9.35817194796711,-6.0618492177667,9,1
190,-11.8747883673665,-7.42832085503294,22,39,-9.49565615778167,-5.64479386921796,9,1
191,-11.9463019735291,-7.34225701100296,20,39,-9.72674087457649,-5.64524347906829,9,0
192,-12.0355341171427,-6.97646220508192,21,39,-9.8864994898852,-5.0799173986494,9,0
193,-12.1004454810854,-6.77876569018889,21,38,-9.30297270119925,-4.8733471276589,9,0
194,-12.0109843185532,-6.32202605317227,19,38,-10.6627426433435,-4.87369106985893,9,0
195,-12.4323060258012,-6.64572973135553,15,33,-9.47862037288804,-4.33030672904145,9,0
196,-12.5713098431048,-7.53370951679383,10,31,-12.1135754071105,-4.88850238727823,9,0
197,-12.8107998821884,-6.70378350029861,1,34,-12.662090493469,-7.30995549984538,9,0
198,-13.4030087816812,-5.49412361654282,1,33,-12.9753387175455,-7.29604008391372,9,0
199,-13.5775539860042,-4.10194990202356,1,36,-13.0955754549306,-7.29692775702666,9,0
200,-13.5017412148712,-3.32466480004783,2,39,-12.7833003838051,-4.44100130867008,9,0
201,-13.3463451597581,-2.72311518936331,1,37,-12.9264166735298,-7.72473020494092,9,0
202,-13.2860042136729,-2.15869269319551,3,39,-12.7811735881865,1.0761893255276,9,0
203,-13.2266713113726,-1.43322712187239,2,37,-12.9845864689545,-3.95332450362774,9,0
204,-15.2837813973317,-16.1089564321327,28,53,-14.2213323089642,-15.4431462206647,10,1
205,-15.572720129842,-16.1050786237123,28,52,-13.315861448487,-15.0610236867996,10,1
206,-14.9841700411312,-15.9681116068511,27,51,-12.7018598934898,-15.0913838227392,10,1
207,-14.6796415412634,-15.6422869503491,27,51,-12.7381352409845,-14.8161215671335,10,1
208,-14.0836304000661,-15.2699582259449,27,52,-13.025149977342,-14.50796995536,10,1
209,-11.744667800194,-12.4950186731903,27,42,-7.09256028299888,-10.8851276376345,10,1
210,-11.6557843169395,-11.7804519109345,27,43,-7.58428442878834,-10.4807713495894,10,1
211,-11.3654849385855,-11.2716627736775,27,42,-7.72091347548975,-9.89373795955228,10,1
212,-11.3357209133046,-10.7301054489468,28,42,-8.10968328911529,-9.39017400542121,10,1
213,-11.7607858367537,-11.3954558097338,26,41,-7.54883643095917,-9.07818101796743,10,1
214,-11.2106001065249,-11.3674735692353,25,41,-7.85518161384716,-8.62876909893085,10,1
215,-11.3193565191473,-11.2037314823934,24,40,-7.54488561488826,-8.7270857939456,10,1
216,-11.3022983159584,-10.8579088863323,22,40,-7.74564190272176,-8.73047851919222,10,1
